,index,DeviceSerial,Timestamp,Wh,kWH,KW,gmt_timestamp,month,week,day_of_month,day_of_week,time,timeslot_mean,timeslot_median,Wh_Outlier,KVA Rating,EOR,LOR
0,141,00980E29,1698160500,2963,2.963,11.852,2023-10-24T15:15:00+00:00,10,43,24,tuesday,15:15,3391.5,3391.5,0,150,6.5936550793115085,
1,142,00980E29,1698161400,3380,3.38,13.52,2023-10-24T15:30:00+00:00,10,43,24,tuesday,15:30,3537.0,3537.0,0,150,5.656804733727811,
2,143,00980E29,1698162300,3662,3.662,14.648,2023-10-24T15:45:00+00:00,10,43,24,tuesday,15:45,3643.5,3643.5,0,150,5.144183506280721,
3,144,00980E29,1698163200,3920,3.92,15.68,2023-10-24T16:00:00+00:00,10,43,24,tuesday,16:00,3910.0,3910.0,0,150,4.739795918367347,
4,145,00980E29,1698164100,3689,3.689,14.756,2023-10-24T16:15:00+00:00,10,43,24,tuesday,16:15,3816.0,3816.0,0,150,5.099213879100027,
5,146,00980E29,1698165000,3749,3.749,14.996,2023-10-24T16:30:00+00:00,10,43,24,tuesday,16:30,3938.0,3938.0,0,150,5.001600426780475,
6,147,00980E29,1698165900,4073,4.073,16.292,2023-10-24T16:45:00+00:00,10,43,24,tuesday,16:45,3920.0,3920.0,0,150,4.5241836484164,
7,148,00980E29,1698166800,3780,3.78,15.12,2023-10-24T17:00:00+00:00,10,43,24,tuesday,17:00,3562.0,3562.0,0,150,4.9523809523809526,
8,149,00980E29,1698167700,4130,4.13,16.52,2023-10-24T17:15:00+00:00,10,43,24,tuesday,17:15,3835.0,3835.0,0,150,4.447941888619855,
9,150,00980E29,1698168600,3701,3.701,14.804,2023-10-24T17:30:00+00:00,10,43,24,tuesday,17:30,3763.5,3763.5,0,150,5.079437989732504,
10,151,00980E29,1698169500,3347,3.347,13.388,2023-10-24T17:45:00+00:00,10,43,24,tuesday,17:45,3302.5,3302.5,0,150,5.72243800418285,
11,152,00980E29,1698170400,3292,3.292,13.168,2023-10-24T18:00:00+00:00,10,43,24,tuesday,18:00,3270.0,3270.0,0,150,5.834750911300121,
12,153,00980E29,1698171300,3258,3.258,13.032,2023-10-24T18:15:00+00:00,10,43,24,tuesday,18:15,3203.0,3203.0,0,150,5.906077348066298,
13,154,00980E29,1698172200,2990,2.99,11.96,2023-10-24T18:30:00+00:00,10,43,24,tuesday,18:30,3088.5,3088.5,0,150,6.525083612040133,
14,155,00980E29,1698173100,3113,3.113,12.452,2023-10-24T18:45:00+00:00,10,43,24,tuesday,18:45,3037.5,3037.5,0,150,6.227754577577899,
15,156,00980E29,1698174000,2812,2.812,11.248,2023-10-24T19:00:00+00:00,10,43,24,tuesday,19:00,2817.0,2817.0,0,150,7.001422475106685,
16,157,00980E29,1698174900,3079,3.079,12.316,2023-10-24T19:15:00+00:00,10,43,24,tuesday,19:15,2811.5,2811.5,0,150,6.307567392010393,
17,158,00980E29,1698175800,2924,2.924,11.696,2023-10-24T19:30:00+00:00,10,43,24,tuesday,19:30,2823.0,2823.0,0,150,6.694938440492477,
18,159,00980E29,1698176700,3334,3.334,13.336,2023-10-24T19:45:00+00:00,10,43,24,tuesday,19:45,2920.5,2920.5,0,150,5.748650269946011,
19,160,00980E29,1698177600,3005,3.005,12.02,2023-10-24T20:00:00+00:00,10,43,24,tuesday,20:00,2837.5,2837.5,0,150,6.487520798668886,
20,161,00980E29,1698178500,3083,3.083,12.332,2023-10-24T20:15:00+00:00,10,43,24,tuesday,20:15,2824.0,2824.0,0,150,6.298086279597794,
21,162,00980E29,1698179400,3169,3.169,12.676,2023-10-24T20:30:00+00:00,10,43,24,tuesday,20:30,2987.5,2987.5,0,150,6.100031555695803,
22,163,00980E29,1698180300,3019,3.019,12.076,2023-10-24T20:45:00+00:00,10,43,24,tuesday,20:45,2784.0,2784.0,0,150,6.452798940046374,
23,164,00980E29,1698181200,3006,3.006,12.024,2023-10-24T21:00:00+00:00,10,43,24,tuesday,21:00,2795.0,2795.0,0,150,6.485029940119761,
24,165,00980E29,1698182100,2679,2.679,10.716,2023-10-24T21:15:00+00:00,10,43,24,tuesday,21:15,2639.5,2639.5,0,150,7.3986562150056,
25,166,00980E29,1698183000,2733,2.733,10.932,2023-10-24T21:30:00+00:00,10,43,24,tuesday,21:30,2707.5,2707.5,0,150,7.23271130625686,
26,167,00980E29,1698183900,2686,2.686,10.744,2023-10-24T21:45:00+00:00,10,43,24,tuesday,21:45,2595.0,2595.0,0,150,7.376768428890544,
27,168,00980E29,1698184800,2282,2.282,9.128,2023-10-24T22:00:00+00:00,10,43,24,tuesday,22:00,2472.5,2472.5,0,150,8.85977212971078,
28,169,00980E29,1698185700,2351,2.351,9.404,2023-10-24T22:15:00+00:00,10,43,24,tuesday,22:15,2474.0,2474.0,0,150,8.57039557635049,
29,170,00980E29,1698186600,2333,2.333,9.332,2023-10-24T22:30:00+00:00,10,43,24,tuesday,22:30,2617.0,2617.0,0,150,8.644234890698671,
30,171,00980E29,1698187500,2460,2.46,9.84,2023-10-24T22:45:00+00:00,10,43,24,tuesday,22:45,2606.0,2606.0,0,150,8.146341463414634,
31,172,00980E29,1698188400,2654,2.654,10.616,2023-10-24T23:00:00+00:00,10,43,24,tuesday,23:00,2735.0,2735.0,0,150,7.477769404672193,
32,173,00980E29,1698189300,2585,2.585,10.34,2023-10-24T23:15:00+00:00,10,43,24,tuesday,23:15,2737.5,2737.5,0,150,7.704061895551257,
33,174,00980E29,1698190200,2679,2.679,10.716,2023-10-24T23:30:00+00:00,10,43,24,tuesday,23:30,3002.5,3002.5,0,150,7.3986562150056,
34,175,00980E29,1698191100,2740,2.74,10.96,2023-10-24T23:45:00+00:00,10,43,24,tuesday,23:45,3054.5,3054.5,0,150,7.211678832116787,
35,176,00980E29,1698192000,2653,2.653,10.612,2023-10-25T00:00:00+00:00,10,43,25,wednesday,00:00,3217.0,3217.0,0,150,7.480964945344893,
36,177,00980E29,1698192900,2698,2.698,10.792,2023-10-25T00:15:00+00:00,10,43,25,wednesday,00:15,2797.0,2797.0,0,150,7.339510748702743,
37,178,00980E29,1698193800,2685,2.685,10.74,2023-10-25T00:30:00+00:00,10,43,25,wednesday,00:30,3332.5,3332.5,0,150,7.379888268156425,
38,179,00980E29,1698194700,3176,3.176,12.704,2023-10-25T00:45:00+00:00,10,43,25,wednesday,00:45,3547.0,3547.0,0,150,6.084382871536523,
39,180,00980E29,1698195600,2990,2.99,11.96,2023-10-25T01:00:00+00:00,10,43,25,wednesday,01:00,3251.5,3251.5,0,150,6.525083612040133,
40,181,00980E29,1698196500,2686,2.686,10.744,2023-10-25T01:15:00+00:00,10,43,25,wednesday,01:15,3656.5,3656.5,0,150,7.376768428890544,
41,182,00980E29,1698197400,2807,2.807,11.228,2023-10-25T01:30:00+00:00,10,43,25,wednesday,01:30,3366.8,3904.0,0,150,7.015675097969363,
42,183,00980E29,1698198300,2644,2.644,10.576,2023-10-25T01:45:00+00:00,10,43,25,wednesday,01:45,5274.25,5497.5,0,150,7.509833585476551,
43,184,00980E29,1698199200,3052,3.052,12.208,2023-10-25T02:00:00+00:00,10,43,25,wednesday,02:00,5971.0,5778.0,0,150,6.37221494102228,
44,185,00980E29,1698200100,2969,2.969,11.876,2023-10-25T02:15:00+00:00,10,43,25,wednesday,02:15,6166.0,6355.5,0,150,6.578309195015157,
45,186,00980E29,1698201000,151,0.151,0.604,2023-10-25T02:30:00+00:00,10,43,25,wednesday,02:30,5176.75,5793.5,0,150,148.0066225165563,
46,333,00980E29,1698333300,42,0.042,0.168,2023-10-26T15:15:00+00:00,10,43,26,thursday,15:15,1776.5,1776.5,0,150,534.7142857142857,
47,334,00980E29,1698334200,3091,3.091,12.364,2023-10-26T15:30:00+00:00,10,43,26,thursday,15:30,3045.5,3045.5,0,150,6.279197670656744,
48,335,00980E29,1698335100,3499,3.499,13.996,2023-10-26T15:45:00+00:00,10,43,26,thursday,15:45,1796.5,1796.5,0,150,5.430408688196628,
49,336,00980E29,1698336000,3184,3.184,12.736,2023-10-26T16:00:00+00:00,10,43,26,thursday,16:00,3184.0,3184.0,0,150,6.066582914572864,
50,337,00980E29,1698336900,3135,3.135,12.54,2023-10-26T16:15:00+00:00,10,43,26,thursday,16:15,2283.0,2283.0,0,150,6.177033492822968,
51,338,00980E29,1698337800,3058,3.058,12.232,2023-10-26T16:30:00+00:00,10,43,26,thursday,16:30,2979.5,2979.5,0,150,6.3577501635055595,
52,339,00980E29,1698338700,3051,3.051,12.204,2023-10-26T16:45:00+00:00,10,43,26,thursday,16:45,2580.0,2580.0,0,150,6.374631268436577,
53,340,00980E29,1698339600,2916,2.916,11.664,2023-10-26T17:00:00+00:00,10,43,26,thursday,17:00,2916.0,2916.0,0,150,6.716049382716049,
54,341,00980E29,1698340500,2947,2.947,11.788,2023-10-26T17:15:00+00:00,10,43,26,thursday,17:15,2947.0,2947.0,0,150,6.634882931795046,
55,342,00980E29,1698341400,2797,2.797,11.188,2023-10-26T17:30:00+00:00,10,43,26,thursday,17:30,2797.0,2797.0,0,150,7.0443332141580255,
56,343,00980E29,1698342300,2972,2.972,11.888,2023-10-26T17:45:00+00:00,10,43,26,thursday,17:45,2972.0,2972.0,0,150,6.570659488559892,
57,344,00980E29,1698343200,2908,2.908,11.632,2023-10-26T18:00:00+00:00,10,43,26,thursday,18:00,2380.5,2380.5,0,150,6.7372764786795045,
58,345,00980E29,1698344100,2710,2.71,10.84,2023-10-26T18:15:00+00:00,10,43,26,thursday,18:15,2696.0,2696.0,0,150,7.302583025830258,
59,346,00980E29,1698345000,2826,2.826,11.304,2023-10-26T18:30:00+00:00,10,43,26,thursday,18:30,2767.0,2767.0,0,150,6.961783439490445,
60,347,00980E29,1698345900,3044,3.044,12.176,2023-10-26T18:45:00+00:00,10,43,26,thursday,18:45,2794.5,2794.5,0,150,6.391590013140604,
61,348,00980E29,1698346800,3003,3.003,12.012,2023-10-26T19:00:00+00:00,10,43,26,thursday,19:00,2734.5,2734.5,0,150,6.492507492507492,
62,349,00980E29,1698347700,2778,2.778,11.112,2023-10-26T19:15:00+00:00,10,43,26,thursday,19:15,2899.5,2899.5,0,150,7.0993520518358535,
63,350,00980E29,1698348600,2575,2.575,10.3,2023-10-26T19:30:00+00:00,10,43,26,thursday,19:30,2210.5,2210.5,0,150,7.737864077669903,
64,351,00980E29,1698349500,2565,2.565,10.26,2023-10-26T19:45:00+00:00,10,43,26,thursday,19:45,2461.5,2461.5,0,150,7.771929824561403,
65,352,00980E29,1698350400,2455,2.455,9.82,2023-10-26T20:00:00+00:00,10,43,26,thursday,20:00,2386.5,2386.5,0,150,8.164969450101834,
66,353,00980E29,1698351300,2591,2.591,10.364,2023-10-26T20:15:00+00:00,10,43,26,thursday,20:15,2562.5,2562.5,0,150,7.683905827865688,
67,354,00980E29,1698352200,2640,2.64,10.56,2023-10-26T20:30:00+00:00,10,43,26,thursday,20:30,2626.0,2626.0,0,150,7.5227272727272725,
68,355,00980E29,1698353100,2511,2.511,10.044,2023-10-26T20:45:00+00:00,10,43,26,thursday,20:45,1851.5,1851.5,0,150,7.960573476702509,
69,356,00980E29,1698354000,2710,2.71,10.84,2023-10-26T21:00:00+00:00,10,43,26,thursday,21:00,2710.0,2710.0,0,150,7.302583025830258,
70,357,00980E29,1698354900,2580,2.58,10.32,2023-10-26T21:15:00+00:00,10,43,26,thursday,21:15,2580.0,2580.0,0,150,7.72093023255814,
71,358,00980E29,1698355800,2280,2.28,9.12,2023-10-26T21:30:00+00:00,10,43,26,thursday,21:30,1702.5,1702.5,0,150,8.868421052631579,
72,359,00980E29,1698356700,2271,2.271,9.084,2023-10-26T21:45:00+00:00,10,43,26,thursday,21:45,2494.0,2494.0,0,150,8.907529722589167,
73,360,00980E29,1698357600,2393,2.393,9.572,2023-10-26T22:00:00+00:00,10,43,26,thursday,22:00,2500.5,2500.5,0,150,8.402423735896365,
74,361,00980E29,1698358500,2271,2.271,9.084,2023-10-26T22:15:00+00:00,10,43,26,thursday,22:15,2121.5,2121.5,0,150,8.907529722589167,
75,362,00980E29,1698359400,2380,2.38,9.52,2023-10-26T22:30:00+00:00,10,43,26,thursday,22:30,2509.5,2509.5,0,150,8.453781512605042,
76,363,00980E29,1698360300,2185,2.185,8.74,2023-10-26T22:45:00+00:00,10,43,26,thursday,22:45,2656.5,2656.5,0,150,9.297482837528605,
77,364,00980E29,1698361200,2235,2.235,8.94,2023-10-26T23:00:00+00:00,10,43,26,thursday,23:00,2667.5,2667.5,0,150,9.067114093959733,
78,365,00980E29,1698362100,2360,2.36,9.44,2023-10-26T23:15:00+00:00,10,43,26,thursday,23:15,2576.0,2576.0,0,150,8.533898305084746,
79,366,00980E29,1698363000,2349,2.349,9.396,2023-10-26T23:30:00+00:00,10,43,26,thursday,23:30,2840.0,2840.0,0,150,8.578544061302681,
80,367,00980E29,1698363900,2475,2.475,9.9,2023-10-26T23:45:00+00:00,10,43,26,thursday,23:45,2504.0,2504.0,0,150,8.09090909090909,
81,368,00980E29,1698364800,2271,2.271,9.084,2023-10-27T00:00:00+00:00,10,43,27,friday,00:00,2271.0,2271.0,0,150,8.907529722589167,
82,369,00980E29,1698365700,2207,2.207,8.828,2023-10-27T00:15:00+00:00,10,43,27,friday,00:15,2275.5,2275.5,0,150,9.194834617127322,
83,370,00980E29,1698366600,2811,2.811,11.244,2023-10-27T00:30:00+00:00,10,43,27,friday,00:30,2955.5,2955.5,0,150,7.004268943436499,
84,371,00980E29,1698367500,2852,2.852,11.408,2023-10-27T00:45:00+00:00,10,43,27,friday,00:45,1657.0,1657.0,0,150,6.889200561009818,
85,372,00980E29,1698368400,2524,2.524,10.096,2023-10-27T01:00:00+00:00,10,43,27,friday,01:00,2524.0,2524.0,0,150,7.914421553090333,
86,373,00980E29,1698369300,2353,2.353,9.412,2023-10-27T01:15:00+00:00,10,43,27,friday,01:15,2353.0,2353.0,0,150,8.562260943476412,
87,374,00980E29,1698370200,2012,2.012,8.048,2023-10-27T01:30:00+00:00,10,43,27,friday,01:30,2778.0,2775.0,0,150,10.182902584493041,
88,375,00980E29,1698371100,2185,2.185,8.74,2023-10-27T01:45:00+00:00,10,43,27,friday,01:45,2970.8,3183.0,0,150,9.297482837528605,
89,376,00980E29,1698372000,2352,2.352,9.408,2023-10-27T02:00:00+00:00,10,43,27,friday,02:00,3044.6,3225.0,0,150,8.566326530612246,
90,377,00980E29,1698372900,359,0.359,1.436,2023-10-27T02:15:00+00:00,10,43,27,friday,02:15,3011.0,3662.0,0,150,61.67409470752089,
91,521,00980E29,1698502500,595,0.595,2.38,2023-10-28T14:15:00+00:00,10,43,28,saturday,14:15,1200.0,1200.0,0,150,36.81512605042017,
92,522,00980E29,1698503400,3002,3.002,12.008,2023-10-28T14:30:00+00:00,10,43,28,saturday,14:30,3002.0,3002.0,0,150,6.495003331112592,
93,523,00980E29,1698504300,3015,3.015,12.06,2023-10-28T14:45:00+00:00,10,43,28,saturday,14:45,3015.0,3015.0,0,150,6.462686567164178,
94,524,00980E29,1698505200,2960,2.96,11.84,2023-10-28T15:00:00+00:00,10,43,28,saturday,15:00,2960.0,2960.0,0,150,6.601351351351351,
95,525,00980E29,1698506100,3585,3.585,14.34,2023-10-28T15:15:00+00:00,10,43,28,saturday,15:15,3585.0,3585.0,0,150,5.2761506276150625,
96,526,00980E29,1698507000,3867,3.867,15.468,2023-10-28T15:30:00+00:00,10,43,28,saturday,15:30,3867.0,3867.0,0,150,4.818463925523662,
97,527,00980E29,1698507900,3787,3.787,15.148,2023-10-28T15:45:00+00:00,10,43,28,saturday,15:45,3787.0,3787.0,0,150,4.941378399788752,
98,528,00980E29,1698508800,3281,3.281,13.124,2023-10-28T16:00:00+00:00,10,43,28,saturday,16:00,3281.0,3281.0,0,150,5.857665345931118,
99,529,00980E29,1698509700,3543,3.543,14.172,2023-10-28T16:15:00+00:00,10,43,28,saturday,16:15,3543.0,3543.0,0,150,5.350550381033023,
100,530,00980E29,1698510600,3461,3.461,13.844,2023-10-28T16:30:00+00:00,10,43,28,saturday,16:30,3461.0,3461.0,0,150,5.501011268419533,
101,531,00980E29,1698511500,3240,3.24,12.96,2023-10-28T16:45:00+00:00,10,43,28,saturday,16:45,3240.0,3240.0,0,150,5.944444444444444,
102,532,00980E29,1698512400,3278,3.278,13.112,2023-10-28T17:00:00+00:00,10,43,28,saturday,17:00,3278.0,3278.0,0,150,5.863941427699817,
103,533,00980E29,1698513300,3092,3.092,12.368,2023-10-28T17:15:00+00:00,10,43,28,saturday,17:15,3092.0,3092.0,0,150,6.276843467011643,
104,534,00980E29,1698514200,3257,3.257,13.028,2023-10-28T17:30:00+00:00,10,43,28,saturday,17:30,3257.0,3257.0,0,150,5.908197727970524,
105,535,00980E29,1698515100,2858,2.858,11.432,2023-10-28T17:45:00+00:00,10,43,28,saturday,17:45,2858.0,2858.0,0,150,6.872638208537438,
106,536,00980E29,1698516000,2719,2.719,10.876,2023-10-28T18:00:00+00:00,10,43,28,saturday,18:00,2719.0,2719.0,0,150,7.275101140125046,
107,537,00980E29,1698516900,2477,2.477,9.908,2023-10-28T18:15:00+00:00,10,43,28,saturday,18:15,2477.0,2477.0,0,150,8.083568833266048,
108,538,00980E29,1698517800,2582,2.582,10.328,2023-10-28T18:30:00+00:00,10,43,28,saturday,18:30,2582.0,2582.0,0,150,7.714175058094501,
109,539,00980E29,1698518700,2527,2.527,10.108,2023-10-28T18:45:00+00:00,10,43,28,saturday,18:45,2527.0,2527.0,0,150,7.90383854372774,
110,540,00980E29,1698519600,2739,2.739,10.956,2023-10-28T19:00:00+00:00,10,43,28,saturday,19:00,2739.0,2739.0,0,150,7.214676889375685,
111,541,00980E29,1698520500,2428,2.428,9.712,2023-10-28T19:15:00+00:00,10,43,28,saturday,19:15,2428.0,2428.0,0,150,8.266886326194399,
112,542,00980E29,1698521400,2878,2.878,11.512,2023-10-28T19:30:00+00:00,10,43,28,saturday,19:30,2878.0,2878.0,0,150,6.817929117442668,
113,543,00980E29,1698522300,2614,2.614,10.456,2023-10-28T19:45:00+00:00,10,43,28,saturday,19:45,2614.0,2614.0,0,150,7.607498087222647,
114,544,00980E29,1698523200,2575,2.575,10.3,2023-10-28T20:00:00+00:00,10,43,28,saturday,20:00,2575.0,2575.0,0,150,7.737864077669903,
115,545,00980E29,1698524100,2578,2.578,10.312,2023-10-28T20:15:00+00:00,10,43,28,saturday,20:15,2578.0,2578.0,0,150,7.727695888285493,
116,546,00980E29,1698525000,2803,2.803,11.212,2023-10-28T20:30:00+00:00,10,43,28,saturday,20:30,2803.0,2803.0,0,150,7.0271138066357475,
117,547,00980E29,1698525900,2771,2.771,11.084,2023-10-28T20:45:00+00:00,10,43,28,saturday,20:45,2771.0,2771.0,0,150,7.11981234211476,
118,548,00980E29,1698526800,2535,2.535,10.14,2023-10-28T21:00:00+00:00,10,43,28,saturday,21:00,2535.0,2535.0,0,150,7.875739644970413,
119,549,00980E29,1698527700,2606,2.606,10.424,2023-10-28T21:15:00+00:00,10,43,28,saturday,21:15,2606.0,2606.0,0,150,7.633921719109747,
120,550,00980E29,1698528600,2466,2.466,9.864,2023-10-28T21:30:00+00:00,10,43,28,saturday,21:30,2466.0,2466.0,0,150,8.124087591240874,
121,551,00980E29,1698529500,2510,2.51,10.04,2023-10-28T21:45:00+00:00,10,43,28,saturday,21:45,2510.0,2510.0,0,150,7.9641434262948225,
122,552,00980E29,1698530400,2590,2.59,10.36,2023-10-28T22:00:00+00:00,10,43,28,saturday,22:00,2590.0,2590.0,0,150,7.687258687258688,
123,553,00980E29,1698531300,2459,2.459,9.836,2023-10-28T22:15:00+00:00,10,43,28,saturday,22:15,2459.0,2459.0,0,150,8.15006100040667,
124,554,00980E29,1698532200,2812,2.812,11.248,2023-10-28T22:30:00+00:00,10,43,28,saturday,22:30,2812.0,2812.0,0,150,7.001422475106685,
125,555,00980E29,1698533100,2491,2.491,9.964,2023-10-28T22:45:00+00:00,10,43,28,saturday,22:45,2491.0,2491.0,0,150,8.032517061421116,
126,556,00980E29,1698534000,2643,2.643,10.572,2023-10-28T23:00:00+00:00,10,43,28,saturday,23:00,2643.0,2643.0,0,150,7.5130533484676505,
127,557,00980E29,1698534900,2944,2.944,11.776,2023-10-28T23:15:00+00:00,10,43,28,saturday,23:15,2944.0,2944.0,0,150,6.642663043478262,
128,558,00980E29,1698535800,2526,2.526,10.104,2023-10-28T23:30:00+00:00,10,43,28,saturday,23:30,2526.0,2526.0,0,150,7.907363420427554,
129,559,00980E29,1698536700,2583,2.583,10.332,2023-10-28T23:45:00+00:00,10,43,28,saturday,23:45,2583.0,2583.0,0,150,7.710801393728223,
130,560,00980E29,1698537600,2675,2.675,10.7,2023-10-29T00:00:00+00:00,10,43,29,sunday,00:00,2675.0,2675.0,0,150,7.4112149532710285,
131,561,00980E29,1698538500,2928,2.928,11.712,2023-10-29T00:15:00+00:00,10,43,29,sunday,00:15,2928.0,2928.0,0,150,6.684426229508197,
132,562,00980E29,1698539400,3352,3.352,13.408,2023-10-29T00:30:00+00:00,10,43,29,sunday,00:30,3352.0,3352.0,0,150,5.712410501193317,
133,563,00980E29,1698540300,3346,3.346,13.384,2023-10-29T00:45:00+00:00,10,43,29,sunday,00:45,3346.0,3346.0,0,150,5.724447101016138,
134,564,00980E29,1698541200,3055,3.055,12.22,2023-10-29T01:00:00+00:00,10,43,29,sunday,01:00,3055.0,3055.0,0,150,6.3649754500818325,
135,565,00980E29,1698542100,2845,2.845,11.38,2023-10-29T01:15:00+00:00,10,43,29,sunday,01:15,2845.0,2845.0,0,150,6.9086115992970125,
136,566,00980E29,1698543000,2725,2.725,10.9,2023-10-29T01:30:00+00:00,10,43,29,sunday,01:30,3863.5,3863.5,0,150,7.2568807339449535,
137,567,00980E29,1698543900,3270,3.27,13.08,2023-10-29T01:45:00+00:00,10,43,29,sunday,01:45,4254.5,4254.5,0,150,5.8807339449541285,
138,568,00980E29,1698544800,3154,3.154,12.616,2023-10-29T02:00:00+00:00,10,43,29,sunday,02:00,4176.5,4176.5,0,150,6.133798351299937,
139,569,00980E29,1698545700,3429,3.429,13.716,2023-10-29T02:15:00+00:00,10,43,29,sunday,02:15,4772.5,4772.5,0,150,5.561679790026248,
140,570,00980E29,1698546600,154,0.154,0.616,2023-10-29T02:30:00+00:00,10,43,29,sunday,02:30,3435.5,3435.5,0,150,145.10389610389612,
141,717,00980E29,1698678900,1729,1.729,6.916,2023-10-30T15:15:00+00:00,10,44,30,monday,15:15,2679.5,2679.5,0,150,12.013302486986698,
142,718,00980E29,1698679800,3148,3.148,12.592,2023-10-30T15:30:00+00:00,10,44,30,monday,15:30,3507.5,3507.5,0,150,6.147395171537484,
143,719,00980E29,1698680700,2636,2.636,10.544,2023-10-30T15:45:00+00:00,10,44,30,monday,15:45,3394.5,3394.5,0,150,7.535660091047041,
144,720,00980E29,1698681600,2565,2.565,10.26,2023-10-30T16:00:00+00:00,10,44,30,monday,16:00,2556.0,2556.0,0,150,7.771929824561403,
145,721,00980E29,1698682500,2841,2.841,11.364,2023-10-30T16:15:00+00:00,10,44,30,monday,16:15,2841.0,2841.0,0,150,6.91974656810982,
146,722,00980E29,1698683400,2758,2.758,11.032,2023-10-30T16:30:00+00:00,10,44,30,monday,16:30,2758.0,2758.0,0,150,7.158085569253082,
147,723,00980E29,1698684300,3105,3.105,12.42,2023-10-30T16:45:00+00:00,10,44,30,monday,16:45,3105.0,3105.0,0,150,6.246376811594203,
148,724,00980E29,1698685200,2722,2.722,10.888,2023-10-30T17:00:00+00:00,10,44,30,monday,17:00,2722.0,2722.0,0,150,7.2659808963997055,
149,725,00980E29,1698686100,2946,2.946,11.784,2023-10-30T17:15:00+00:00,10,44,30,monday,17:15,2946.0,2946.0,0,150,6.637474541751526,
150,726,00980E29,1698687000,2617,2.617,10.468,2023-10-30T17:30:00+00:00,10,44,30,monday,17:30,2617.0,2617.0,0,150,7.597630875047765,
151,727,00980E29,1698687900,2777,2.777,11.108,2023-10-30T17:45:00+00:00,10,44,30,monday,17:45,2777.0,2777.0,0,150,7.10226863521786,
152,728,00980E29,1698688800,2637,2.637,10.548,2023-10-30T18:00:00+00:00,10,44,30,monday,18:00,2637.0,2637.0,0,150,7.532423208191126,
153,729,00980E29,1698689700,2558,2.558,10.232,2023-10-30T18:15:00+00:00,10,44,30,monday,18:15,2558.0,2558.0,0,150,7.795934323690384,
154,730,00980E29,1698690600,2470,2.47,9.88,2023-10-30T18:30:00+00:00,10,44,30,monday,18:30,2470.0,2470.0,0,150,8.109311740890687,
155,731,00980E29,1698691500,2910,2.91,11.64,2023-10-30T18:45:00+00:00,10,44,30,monday,18:45,2910.0,2910.0,0,150,6.731958762886598,
156,732,00980E29,1698692400,2577,2.577,10.308,2023-10-30T19:00:00+00:00,10,44,30,monday,19:00,2577.0,2577.0,0,150,7.7310826542491276,
157,733,00980E29,1698693300,2688,2.688,10.752,2023-10-30T19:15:00+00:00,10,44,30,monday,19:15,2688.0,2688.0,0,150,7.370535714285714,
158,734,00980E29,1698694200,2986,2.986,11.944,2023-10-30T19:30:00+00:00,10,44,30,monday,19:30,2986.0,2986.0,0,150,6.535164099129269,
159,735,00980E29,1698695100,2487,2.487,9.948,2023-10-30T19:45:00+00:00,10,44,30,monday,19:45,2487.0,2487.0,0,150,8.04704463208685,
160,736,00980E29,1698696000,2250,2.25,9.0,2023-10-30T20:00:00+00:00,10,44,30,monday,20:00,2250.0,2250.0,0,150,9.0,
161,737,00980E29,1698696900,2339,2.339,9.356,2023-10-30T20:15:00+00:00,10,44,30,monday,20:15,2339.0,2339.0,0,150,8.619495510902096,
162,738,00980E29,1698697800,2227,2.227,8.908,2023-10-30T20:30:00+00:00,10,44,30,monday,20:30,2227.0,2227.0,0,150,9.103277952402335,
163,739,00980E29,1698698700,2118,2.118,8.472,2023-10-30T20:45:00+00:00,10,44,30,monday,20:45,2118.0,2118.0,0,150,9.623229461756376,
164,740,00980E29,1698699600,2135,2.135,8.54,2023-10-30T21:00:00+00:00,10,44,30,monday,21:00,2135.0,2135.0,0,150,9.538641686182672,
165,741,00980E29,1698700500,2309,2.309,9.236,2023-10-30T21:15:00+00:00,10,44,30,monday,21:15,2309.0,2309.0,0,150,8.744478129060198,
166,742,00980E29,1698701400,2399,2.399,9.596,2023-10-30T21:30:00+00:00,10,44,30,monday,21:30,2399.0,2399.0,0,150,8.378907878282618,
167,743,00980E29,1698702300,2327,2.327,9.308,2023-10-30T21:45:00+00:00,10,44,30,monday,21:45,2327.0,2327.0,0,150,8.669101847872799,
168,744,00980E29,1698703200,2642,2.642,10.568,2023-10-30T22:00:00+00:00,10,44,30,monday,22:00,2642.0,2642.0,0,150,7.516275548826647,
169,745,00980E29,1698704100,2542,2.542,10.168,2023-10-30T22:15:00+00:00,10,44,30,monday,22:15,2542.0,2542.0,0,150,7.851298190401259,
170,746,00980E29,1698705000,2547,2.547,10.188,2023-10-30T22:30:00+00:00,10,44,30,monday,22:30,2547.0,2547.0,0,150,7.833922261484099,
171,747,00980E29,1698705900,2481,2.481,9.924,2023-10-30T22:45:00+00:00,10,44,30,monday,22:45,2481.0,2481.0,0,150,8.068923821039903,
172,748,00980E29,1698706800,2289,2.289,9.156,2023-10-30T23:00:00+00:00,10,44,30,monday,23:00,2289.0,2289.0,0,150,8.82961992136304,
173,749,00980E29,1698707700,2464,2.464,9.856,2023-10-30T23:15:00+00:00,10,44,30,monday,23:15,2464.0,2464.0,0,150,8.131493506493507,
174,750,00980E29,1698708600,2587,2.587,10.348,2023-10-30T23:30:00+00:00,10,44,30,monday,23:30,2587.0,2587.0,0,150,7.697332817935832,
